region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
Abruzzo,1,0,0,1,0,0,1,10
Basilicata,0,0,0,0,0,0,0,32
Bolzano,0,0,0,0,0,0,0,14
Calabria,0,0,0,0,0,0,0,6
Campania,1,0,8,9,0,0,9,160
Emilia Romagna,30,5,35,70,0,2,72,273
Friuli V.G.,0,0,0,0,0,0,0,20
Lazio,3,0,0,3,0,0,3,68
Liguria,-5,1,23,19,4,0,23,9
Lombardia,21,33,24,78,0,6,84,888
Marche,3,0,2,5,0,0,5,21
Molise,0,0,0,0,0,0,0,0
Piemonte,0,0,0,0,0,0,0,81
Puglia,0,0,0,0,0,0,0,10
Sardegna,0,0,0,0,0,0,0,0
Sicilia,0,0,0,0,0,0,0,1
Toscana,2,0,1,3,0,0,3,94
Trento,0,0,0,0,0,0,0,11
Umbria,0,0,0,0,0,0,0,23
Valle D’Aosta,0,0,0,0,0,0,0,0
Veneto,0,2,38,40,0,0,40,1245
