region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
Abruzzo,1,0,0,1,0,0,1,11
Basilicata,0,0,0,0,0,0,0,6
Bolzano,0,0,0,0,0,0,0,0
Calabria,1,0,0,1,0,0,1,7
Campania,1,0,13,14,0,0,14,42
Emilia Romagna,71,6,65,142,4,8,154,384
Friuli V.G.,1,0,2,3,0,0,3,21
Lazio,5,4,5,14,0,0,14,180
Liguria,1,0,-1,0,0,2,2,13
Lombardia,292,35,-47,280,126,25,431,216
Marche,23,4,13,40,0,0,40,125
Molise,1,0,3,4,0,0,4,5
Piemonte,17,4,3,24,0,2,26,0
Puglia,1,1,3,5,0,0,5,37
Sardegna,1,0,-1,0,0,0,0,8
Sicilia,0,0,0,0,0,0,0,0
Toscana,11,1,11,23,0,0,23,0
Trento,1,0,1,2,0,0,2,0
Umbria,0,0,0,0,0,0,0,30
Valle D’Aosta,0,0,2,2,0,0,2,6
Veneto,16,1,18,35,8,4,47,1434
