region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
Abruzzo,1,0,0,1,0,0,1,33
Basilicata,0,0,0,0,0,0,0,0
Bolzano,1,0,0,1,0,0,1,2
Calabria,0,0,0,0,0,0,0,14
Campania,2,0,1,3,0,0,3,10
Emilia Romagna,36,6,54,96,0,1,97,1033
Friuli V.G.,0,0,0,0,0,0,0,141
Lazio,0,0,0,0,3,0,3,552
Liguria,9,0,10,19,0,0,19,78
Lombardia,172,41,136,349,40,14,403,3320
Marche,2,1,0,3,0,0,3,46
Molise,0,0,0,0,0,0,0,0
Piemonte,2,0,0,2,0,0,2,156
Puglia,1,0,0,1,0,0,1,0
Sardegna,0,0,0,0,0,0,0,1
Sicilia,1,0,1,2,2,0,4,5
Toscana,2,0,0,2,0,0,2,410
Trento,0,0,0,0,0,0,0,32
Umbria,0,0,0,0,0,0,0,8
Valle D’Aosta,0,0,0,0,0,0,0,9
Veneto,19,8,82,109,0,2,111,6164
