region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
Abruzzo,2,0,-1,1,0,0,1,0
Basilicata,0,0,1,1,0,0,1,3
Bolzano,0,0,0,0,0,0,0,0
Calabria,0,0,0,0,0,0,0,0
Campania,7,0,6,13,0,0,13,32
Emilia Romagna,39,8,27,74,4,7,85,39
Friuli V.G.,1,0,3,4,0,0,4,85
Lazio,7,0,0,7,0,0,7,104
Liguria,0,1,0,1,0,1,2,0
Lombardia,220,40,-11,249,0,17,266,1652
Marche,10,7,8,25,0,1,26,63
Molise,3,0,0,3,0,0,3,0
Piemonte,1,1,3,5,0,0,5,24
Puglia,0,0,2,2,0,0,2,20
Sardegna,1,0,0,1,0,0,1,0
Sicilia,0,0,0,0,0,0,0,0
Toscana,3,0,3,6,0,0,6,84
Trento,1,0,3,4,0,0,4,0
Umbria,1,1,4,6,0,0,6,10
Valle D’Aosta,0,0,0,0,0,0,0,1
Veneto,-4,5,25,26,7,1,34,394
