region,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
Abruzzo,2,0,0,2,0,0,2,27
Basilicata,0,0,0,0,0,0,0,12
Bolzano,4,0,1,5,0,0,5,0
Calabria,0,0,0,0,0,0,0,14
Campania,4,0,0,4,0,0,4,141
Emilia Romagna,67,11,43,121,8,11,140,468
Friuli V.G.,3,1,7,11,0,0,11,0
Lazio,17,0,5,22,0,0,22,209
Liguria,14,1,3,18,0,1,19,102
Lombardia,39,50,645,734,55,19,808,2222
Marche,21,16,9,46,0,2,48,231
Molise,0,0,2,2,0,0,2,8
Piemonte,53,8,2,63,0,1,64,253
Puglia,4,1,3,8,0,1,9,0
Sardegna,0,0,0,0,0,0,0,0
Sicilia,1,0,10,11,0,0,11,276
Toscana,19,2,13,34,0,0,34,234
Trento,2,1,1,4,0,0,4,72
Umbria,0,0,8,8,0,0,8,24
Valle D’Aosta,1,0,0,1,0,0,1,4
Veneto,6,14,31,51,3,1,55,1406
