regione,ricoverati,terapia_intensiva,isolamento_domiciliare,positivi,guariti,morti,casi_totali,tamponi
Abruzzo,0,0,0,0,0,0,0,0
Basilicata,0,0,0,0,0,0,0,0
Bolzano,0,0,0,0,0,0,0,0
Calabria,0,0,0,0,0,0,0,4
Campania,0,0,0,0,0,0,0,0
Emilia Romagna,21,3,23,47,0,3,50,178
Friuli V.G.,0,0,3,3,0,0,3,26
Lazio,0,0,1,1,0,0,1,49
Liguria,0,0,-3,-3,0,0,-3,0
Lombardia,72,21,97,190,66,14,270,1046
Marche,5,1,3,9,0,1,10,36
Molise,0,0,0,0,0,0,0,7
Piemonte,1,0,1,2,0,0,2,72
Puglia,1,0,0,1,0,0,1,16
Sardegna,0,0,0,0,0,0,0,0
Sicilia,1,0,-3,-2,0,0,-2,16
Toscana,0,0,0,0,0,0,0,41
Trento,0,0,0,0,0,0,0,0
Umbria,0,0,0,0,0,0,0,0
Valle D’Aosta,0,0,0,0,0,0,0,1
Veneto,2,1,7,10,0,0,10,726
