date,hospitalized,intensive_care,self_quarantined,active,healed,dead,total_confirmed,tested
2020-02-25,109,29,137,275,1,7,283,6224
2020-02-26,19,7,84,110,2,5,117,3363
2020-02-27,120,20,63,203,42,5,250,2427
2020-02-28,97,8,128,233,1,4,238,3681
2020-02-29,56,41,131,228,4,8,240,2966
2020-03-01,238,35,255,528,33,5,566,2466
2020-03-02,103,26,129,258,66,18,342,2218
2020-03-03,292,63,73,428,11,27,466,2511
2020-03-04,312,66,65,443,116,28,587,3981
2020-03-05,444,56,90,590,138,41,769,2525
